id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
0;2.txt;3;6;0;6;3;0.0;0.0;0.0;
1;2002.txt;37;20;2;18;35;0.07017543859649122;0.1;0.05405405405405406;
2;2004.txt;29;17;1;16;28;0.043478260869565216;0.058823529411764705;0.034482758620689655;
3;2009.txt;26;20;1;19;25;0.043478260869565216;0.05;0.038461538461538464;
4;2012.txt;34;24;6;18;28;0.20689655172413793;0.25;0.17647058823529413;
5;2014.txt;47;27;9;18;38;0.24324324324324326;0.3333333333333333;0.19148936170212766;
6;2019.txt;38;35;4;31;34;0.1095890410958904;0.11428571428571428;0.10526315789473684;
7;202.txt;40;17;1;16;39;0.03508771929824561;0.058823529411764705;0.025;
8;2022.txt;14;17;0;17;14;0.0;0.0;0.0;
9;2024.txt;23;22;1;21;22;0.044444444444444446;0.045454545454545456;0.043478260869565216;
10;2029.txt;28;16;3;13;25;0.13636363636363635;0.1875;0.10714285714285714;
11;2032.txt;24;15;3;12;21;0.15384615384615385;0.2;0.125;
12;2039.txt;15;7;0;7;15;0.0;0.0;0.0;
13;204.txt;47;21;5;16;42;0.14705882352941177;0.23809523809523808;0.10638297872340426;
14;2042.txt;45;18;2;16;43;0.06349206349206349;0.1111111111111111;0.044444444444444446;
15;2044.txt;16;17;1;16;15;0.06060606060606061;0.058823529411764705;0.0625;
16;2049.txt;2;8;0;8;2;0.0;0.0;0.0;
17;2052.txt;15;10;1;9;14;0.08;0.1;0.06666666666666667;
18;2054.txt;9;6;1;5;8;0.13333333333333333;0.16666666666666666;0.1111111111111111;
19;2059.txt;7;12;2;10;5;0.21052631578947367;0.16666666666666666;0.2857142857142857;
20;2062.txt;11;9;2;7;9;0.2;0.2222222222222222;0.18181818181818182;
21;2064.txt;12;6;0;6;12;0.0;0.0;0.0;
22;2069.txt;13;10;0;10;13;0.0;0.0;0.0;
23;2082.txt;20;14;3;11;17;0.17647058823529413;0.21428571428571427;0.15;
24;2084.txt;15;9;1;8;14;0.08333333333333333;0.1111111111111111;0.06666666666666667;
25;2089.txt;6;12;1;11;5;0.1111111111111111;0.08333333333333333;0.16666666666666666;
26;209.txt;14;9;1;8;13;0.08695652173913043;0.1111111111111111;0.07142857142857142;
27;2092.txt;43;28;3;25;40;0.08450704225352113;0.10714285714285714;0.06976744186046512;
28;2094.txt;30;10;5;5;25;0.25;0.5;0.16666666666666666;
29;2099.txt;10;13;1;12;9;0.08695652173913043;0.07692307692307693;0.1;
30;2102.txt;11;16;2;14;9;0.14814814814814814;0.125;0.18181818181818182;
31;2104.txt;13;16;1;15;12;0.06896551724137931;0.0625;0.07692307692307693;
32;2109.txt;15;14;1;13;14;0.06896551724137931;0.07142857142857142;0.06666666666666667;
33;2112.txt;14;14;2;12;12;0.14285714285714285;0.14285714285714285;0.14285714285714285;
34;2114.txt;14;9;2;7;12;0.17391304347826086;0.2222222222222222;0.14285714285714285;
35;2119.txt;18;12;1;11;17;0.06666666666666667;0.08333333333333333;0.05555555555555555;
36;212.txt;14;12;1;11;13;0.07692307692307693;0.08333333333333333;0.07142857142857142;
37;2122.txt;31;14;4;10;27;0.17777777777777778;0.2857142857142857;0.12903225806451613;
38;2124.txt;20;10;3;7;17;0.2;0.3;0.15;
39;2129.txt;19;8;3;5;16;0.2222222222222222;0.375;0.15789473684210525;
40;2132.txt;27;11;3;8;24;0.15789473684210525;0.2727272727272727;0.1111111111111111;
41;2134.txt;24;16;2;14;22;0.1;0.125;0.08333333333333333;
42;2139.txt;16;9;3;6;13;0.24;0.3333333333333333;0.1875;
43;214.txt;30;15;6;9;24;0.26666666666666666;0.4;0.2;
44;2142.txt;28;11;7;4;21;0.358974358974359;0.6363636363636364;0.25;
45;2144.txt;10;7;2;5;8;0.23529411764705882;0.2857142857142857;0.2;
46;2149.txt;10;6;2;4;8;0.25;0.3333333333333333;0.2;
47;2152.txt;21;12;4;8;17;0.24242424242424243;0.3333333333333333;0.19047619047619047;
48;2154.txt;19;12;1;11;18;0.06451612903225806;0.08333333333333333;0.05263157894736842;
49;2159.txt;22;12;3;9;19;0.17647058823529413;0.25;0.13636363636363635;
