id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
0;2.txt;7;6;0;6;7;0.0;0.0;0.0;
1;2002.txt;61;20;2;18;59;0.04938271604938271;0.1;0.03278688524590164;
2;2004.txt;51;17;2;15;49;0.058823529411764705;0.11764705882352941;0.0392156862745098;
3;2009.txt;77;20;4;16;73;0.08247422680412371;0.2;0.05194805194805195;
4;2012.txt;58;24;6;18;52;0.14634146341463414;0.25;0.10344827586206896;
5;2014.txt;84;27;14;13;70;0.25225225225225223;0.5185185185185185;0.16666666666666666;
6;2019.txt;105;35;11;24;94;0.15714285714285714;0.3142857142857143;0.10476190476190476;
7;202.txt;107;17;2;15;105;0.03225806451612903;0.11764705882352941;0.018691588785046728;
8;2022.txt;28;17;0;17;28;0.0;0.0;0.0;
9;2024.txt;59;22;5;17;54;0.12345679012345678;0.22727272727272727;0.0847457627118644;
10;2029.txt;64;16;3;13;61;0.075;0.1875;0.046875;
11;2032.txt;43;15;5;10;38;0.1724137931034483;0.3333333333333333;0.11627906976744186;
12;2039.txt;19;7;0;7;19;0.0;0.0;0.0;
13;204.txt;101;21;7;14;94;0.11475409836065574;0.3333333333333333;0.06930693069306931;
14;2042.txt;56;18;3;15;53;0.08108108108108109;0.16666666666666666;0.05357142857142857;
15;2044.txt;29;17;3;14;26;0.13043478260869565;0.17647058823529413;0.10344827586206896;
16;2049.txt;14;8;0;8;14;0.0;0.0;0.0;
17;2052.txt;20;10;0;10;20;0.0;0.0;0.0;
18;2054.txt;52;6;2;4;50;0.06896551724137931;0.3333333333333333;0.038461538461538464;
19;2059.txt;22;12;5;7;17;0.29411764705882354;0.4166666666666667;0.22727272727272727;
20;2062.txt;37;9;6;3;31;0.2608695652173913;0.6666666666666666;0.16216216216216217;
21;2064.txt;45;6;2;4;43;0.0784313725490196;0.3333333333333333;0.044444444444444446;
22;2069.txt;53;10;2;8;51;0.06349206349206349;0.2;0.03773584905660377;
23;2082.txt;56;14;2;12;54;0.05714285714285714;0.14285714285714285;0.03571428571428571;
24;2084.txt;59;9;4;5;55;0.11764705882352941;0.4444444444444444;0.06779661016949153;
25;2089.txt;25;12;1;11;24;0.05405405405405406;0.08333333333333333;0.04;
26;209.txt;30;9;1;8;29;0.05128205128205128;0.1111111111111111;0.03333333333333333;
27;2092.txt;146;28;8;20;138;0.09195402298850575;0.2857142857142857;0.0547945205479452;
28;2094.txt;44;10;5;5;39;0.18518518518518517;0.5;0.11363636363636363;
29;2099.txt;62;13;1;12;61;0.02666666666666667;0.07692307692307693;0.016129032258064516;
30;2102.txt;45;16;2;14;43;0.06557377049180328;0.125;0.044444444444444446;
31;2104.txt;45;16;3;13;42;0.09836065573770492;0.1875;0.06666666666666667;
32;2109.txt;66;14;1;13;65;0.025;0.07142857142857142;0.015151515151515152;
33;2112.txt;47;14;3;11;44;0.09836065573770492;0.21428571428571427;0.06382978723404255;
34;2114.txt;32;9;3;6;29;0.14634146341463414;0.3333333333333333;0.09375;
35;2119.txt;33;12;1;11;32;0.044444444444444446;0.08333333333333333;0.030303030303030304;
36;212.txt;35;12;3;9;32;0.1276595744680851;0.25;0.08571428571428572;
37;2122.txt;38;14;4;10;34;0.15384615384615385;0.2857142857142857;0.10526315789473684;
38;2124.txt;35;10;4;6;31;0.17777777777777778;0.4;0.11428571428571428;
39;2129.txt;29;8;3;5;26;0.16216216216216217;0.375;0.10344827586206896;
40;2132.txt;41;11;3;8;38;0.11538461538461539;0.2727272727272727;0.07317073170731707;
41;2134.txt;44;16;2;14;42;0.06666666666666667;0.125;0.045454545454545456;
42;2139.txt;54;9;4;5;50;0.12698412698412698;0.4444444444444444;0.07407407407407407;
43;214.txt;69;15;5;10;64;0.11904761904761904;0.3333333333333333;0.07246376811594203;
44;2142.txt;34;11;8;3;26;0.35555555555555557;0.7272727272727273;0.23529411764705882;
45;2144.txt;37;7;4;3;33;0.18181818181818182;0.5714285714285714;0.10810810810810811;
46;2149.txt;31;6;2;4;29;0.10810810810810811;0.3333333333333333;0.06451612903225806;
47;2152.txt;35;12;3;9;32;0.1276595744680851;0.25;0.08571428571428572;
48;2154.txt;83;12;1;11;82;0.021052631578947368;0.08333333333333333;0.012048192771084338;
49;2159.txt;50;12;3;9;47;0.0967741935483871;0.25;0.06;
50;2162.txt;37;8;2;6;35;0.08888888888888889;0.25;0.05405405405405406;
51;2164.txt;52;7;1;6;51;0.03389830508474576;0.14285714285714285;0.019230769230769232;
