id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
0;2.txt;6;6;0;6;6;0.0;0.0;0.0;
1;2002.txt;29;20;2;18;27;0.08163265306122448;0.1;0.06896551724137931;
2;2004.txt;32;17;2;15;30;0.08163265306122448;0.11764705882352941;0.0625;
3;2009.txt;30;20;1;19;29;0.04;0.05;0.03333333333333333;
4;2012.txt;33;24;5;19;28;0.17543859649122806;0.20833333333333334;0.15151515151515152;
5;2014.txt;39;27;7;20;32;0.21212121212121213;0.25925925925925924;0.1794871794871795;
6;2019.txt;31;35;4;31;27;0.12121212121212122;0.11428571428571428;0.12903225806451613;
7;202.txt;38;17;1;16;37;0.03636363636363636;0.058823529411764705;0.02631578947368421;
8;2022.txt;18;17;0;17;18;0.0;0.0;0.0;
9;2024.txt;23;22;2;20;21;0.08888888888888889;0.09090909090909091;0.08695652173913043;
10;2029.txt;23;16;2;14;21;0.10256410256410256;0.125;0.08695652173913043;
11;2032.txt;25;15;5;10;20;0.25;0.3333333333333333;0.2;
12;2039.txt;15;7;0;7;15;0.0;0.0;0.0;
13;204.txt;66;21;7;14;59;0.16091954022988506;0.3333333333333333;0.10606060606060606;
14;2042.txt;49;18;2;16;47;0.05970149253731343;0.1111111111111111;0.04081632653061224;
15;2044.txt;14;17;1;16;13;0.06451612903225806;0.058823529411764705;0.07142857142857142;
16;2049.txt;3;8;1;7;2;0.18181818181818182;0.125;0.3333333333333333;
17;2052.txt;11;10;0;10;11;0.0;0.0;0.0;
18;2054.txt;17;6;2;4;15;0.17391304347826086;0.3333333333333333;0.11764705882352941;
19;2059.txt;5;12;1;11;4;0.11764705882352941;0.08333333333333333;0.2;
20;2062.txt;19;9;4;5;15;0.2857142857142857;0.4444444444444444;0.21052631578947367;
21;2064.txt;15;6;2;4;13;0.19047619047619047;0.3333333333333333;0.13333333333333333;
22;2069.txt;16;10;1;9;15;0.07692307692307693;0.1;0.0625;
23;2082.txt;23;14;2;12;21;0.10810810810810811;0.14285714285714285;0.08695652173913043;
24;2084.txt;16;9;1;8;15;0.08;0.1111111111111111;0.0625;
25;2089.txt;10;12;1;11;9;0.09090909090909091;0.08333333333333333;0.1;
26;209.txt;15;9;1;8;14;0.08333333333333333;0.1111111111111111;0.06666666666666667;
27;2092.txt;35;28;2;26;33;0.06349206349206349;0.07142857142857142;0.05714285714285714;
28;2094.txt;22;10;4;6;18;0.25;0.4;0.18181818181818182;
29;2099.txt;25;13;1;12;24;0.05263157894736842;0.07692307692307693;0.04;
30;2102.txt;8;16;0;16;8;0.0;0.0;0.0;
31;2104.txt;12;16;1;15;11;0.07142857142857142;0.0625;0.08333333333333333;
32;2109.txt;13;14;1;13;12;0.07407407407407407;0.07142857142857142;0.07692307692307693;
33;2112.txt;13;14;2;12;11;0.14814814814814814;0.14285714285714285;0.15384615384615385;
34;2114.txt;6;9;1;8;5;0.13333333333333333;0.1111111111111111;0.16666666666666666;
35;2119.txt;17;12;1;11;16;0.06896551724137931;0.08333333333333333;0.058823529411764705;
36;212.txt;6;12;1;11;5;0.1111111111111111;0.08333333333333333;0.16666666666666666;
37;2122.txt;33;14;4;10;29;0.1702127659574468;0.2857142857142857;0.12121212121212122;
38;2124.txt;14;10;4;6;10;0.3333333333333333;0.4;0.2857142857142857;
39;2129.txt;18;8;3;5;15;0.23076923076923078;0.375;0.16666666666666666;
40;2132.txt;20;11;2;9;18;0.12903225806451613;0.18181818181818182;0.1;
41;2134.txt;24;16;2;14;22;0.1;0.125;0.08333333333333333;
42;2139.txt;9;9;1;8;8;0.1111111111111111;0.1111111111111111;0.1111111111111111;
43;214.txt;30;15;4;11;26;0.17777777777777778;0.26666666666666666;0.13333333333333333;
44;2142.txt;23;11;4;7;19;0.23529411764705882;0.36363636363636365;0.17391304347826086;
45;2144.txt;10;7;1;6;9;0.11764705882352941;0.14285714285714285;0.1;
46;2149.txt;8;6;2;4;6;0.2857142857142857;0.3333333333333333;0.25;
47;2152.txt;23;12;4;8;19;0.22857142857142856;0.3333333333333333;0.17391304347826086;
48;2154.txt;19;12;1;11;18;0.06451612903225806;0.08333333333333333;0.05263157894736842;
49;2159.txt;22;12;3;9;19;0.17647058823529413;0.25;0.13636363636363635;
50;2162.txt;10;8;0;8;10;0.0;0.0;0.0;
51;2164.txt;6;7;0;7;6;0.0;0.0;0.0;
52;2169.txt;3;7;0;7;3;0.0;0.0;0.0;
53;2172.txt;21;12;2;10;19;0.12121212121212122;0.16666666666666666;0.09523809523809523;
54;2174.txt;4;7;0;7;4;0.0;0.0;0.0;
55;2179.txt;3;13;0;13;3;0.0;0.0;0.0;
56;2182.txt;28;8;2;6;26;0.1111111111111111;0.25;0.07142857142857142;
57;2184.txt;13;5;2;3;11;0.2222222222222222;0.4;0.15384615384615385;
58;2189.txt;15;5;2;3;13;0.2;0.4;0.13333333333333333;
59;219.txt;3;7;0;7;3;0.0;0.0;0.0;
60;2192.txt;14;11;1;10;13;0.08;0.09090909090909091;0.07142857142857142;
61;2194.txt;9;11;0;11;9;0.0;0.0;0.0;
62;2199.txt;13;13;1;12;12;0.07692307692307693;0.07692307692307693;0.07692307692307693;
63;22.txt;16;11;1;10;15;0.07407407407407407;0.09090909090909091;0.0625;
64;224.txt;11;6;1;5;10;0.11764705882352941;0.16666666666666666;0.09090909090909091;
65;229.txt;1;3;0;3;1;0.0;0.0;0.0;
66;232.txt;23;21;3;18;20;0.13636363636363635;0.14285714285714285;0.13043478260869565;
67;234.txt;8;13;0;13;8;0.0;0.0;0.0;
68;239.txt;25;9;4;5;21;0.23529411764705882;0.4444444444444444;0.16;
69;24.txt;16;12;6;6;10;0.42857142857142855;0.5;0.375;
70;242.txt;15;8;2;6;13;0.17391304347826086;0.25;0.13333333333333333;
71;244.txt;15;7;3;4;12;0.2727272727272727;0.42857142857142855;0.2;
72;249.txt;10;15;0;15;10;0.0;0.0;0.0;
73;252.txt;9;18;1;17;8;0.07407407407407407;0.05555555555555555;0.1111111111111111;
74;254.txt;2;10;0;10;2;0.0;0.0;0.0;
