id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
0;2.txt;3;6;1;5;2;0.2222222222222222;0.16666666666666666;0.3333333333333333;
1;2002.txt;34;20;2;18;32;0.07407407407407407;0.1;0.058823529411764705;
2;2004.txt;23;17;1;16;22;0.05;0.058823529411764705;0.043478260869565216;
3;2009.txt;42;20;6;14;36;0.1935483870967742;0.3;0.14285714285714285;
4;2012.txt;31;24;6;18;25;0.21818181818181817;0.25;0.1935483870967742;
5;2014.txt;48;27;9;18;39;0.24;0.3333333333333333;0.1875;
6;2019.txt;38;35;5;30;33;0.136986301369863;0.14285714285714285;0.13157894736842105;
7;202.txt;34;17;2;15;32;0.0784313725490196;0.11764705882352941;0.058823529411764705;
8;2022.txt;17;17;0;17;17;0.0;0.0;0.0;
9;2024.txt;28;22;3;19;25;0.12;0.13636363636363635;0.10714285714285714;
10;2029.txt;28;16;3;13;25;0.13636363636363635;0.1875;0.10714285714285714;
11;2032.txt;24;15;6;9;18;0.3076923076923077;0.4;0.25;
12;2039.txt;15;7;2;5;13;0.18181818181818182;0.2857142857142857;0.13333333333333333;
13;204.txt;61;21;9;12;52;0.21951219512195122;0.42857142857142855;0.14754098360655737;
14;2042.txt;44;18;3;15;41;0.0967741935483871;0.16666666666666666;0.06818181818181818;
15;2044.txt;16;17;1;16;15;0.06060606060606061;0.058823529411764705;0.0625;
16;2049.txt;4;8;2;6;2;0.3333333333333333;0.25;0.5;
17;2052.txt;3;10;0;10;3;0.0;0.0;0.0;
18;2054.txt;14;6;2;4;12;0.2;0.3333333333333333;0.14285714285714285;
19;2059.txt;11;12;4;8;7;0.34782608695652173;0.3333333333333333;0.36363636363636365;
20;2062.txt;21;9;6;3;15;0.4;0.6666666666666666;0.2857142857142857;
21;2064.txt;14;6;2;4;12;0.2;0.3333333333333333;0.14285714285714285;
22;2069.txt;18;10;3;7;15;0.21428571428571427;0.3;0.16666666666666666;
23;2082.txt;25;14;3;11;22;0.15384615384615385;0.21428571428571427;0.12;
24;2084.txt;18;9;1;8;17;0.07407407407407407;0.1111111111111111;0.05555555555555555;
25;2089.txt;12;12;1;11;11;0.08333333333333333;0.08333333333333333;0.08333333333333333;
26;209.txt;14;9;1;8;13;0.08695652173913043;0.1111111111111111;0.07142857142857142;
27;2092.txt;32;28;5;23;27;0.16666666666666666;0.17857142857142858;0.15625;
28;2094.txt;15;10;3;7;12;0.24;0.3;0.2;
29;2099.txt;24;13;1;12;23;0.05405405405405406;0.07692307692307693;0.041666666666666664;
30;2102.txt;16;16;2;14;14;0.125;0.125;0.125;
31;2104.txt;12;16;2;14;10;0.14285714285714285;0.125;0.16666666666666666;
32;2109.txt;18;14;2;12;16;0.125;0.14285714285714285;0.1111111111111111;
33;2112.txt;22;14;4;10;18;0.2222222222222222;0.2857142857142857;0.18181818181818182;
34;2114.txt;9;9;1;8;8;0.1111111111111111;0.1111111111111111;0.1111111111111111;
35;2119.txt;18;12;3;9;15;0.2;0.25;0.16666666666666666;
36;212.txt;11;12;1;11;10;0.08695652173913043;0.08333333333333333;0.09090909090909091;
37;2122.txt;30;14;5;9;25;0.22727272727272727;0.35714285714285715;0.16666666666666666;
38;2124.txt;16;10;4;6;12;0.3076923076923077;0.4;0.25;
39;2129.txt;14;8;3;5;11;0.2727272727272727;0.375;0.21428571428571427;
40;2132.txt;28;11;3;8;25;0.15384615384615385;0.2727272727272727;0.10714285714285714;
41;2134.txt;22;16;2;14;20;0.10526315789473684;0.125;0.09090909090909091;
42;2139.txt;21;9;2;7;19;0.13333333333333333;0.2222222222222222;0.09523809523809523;
43;214.txt;31;15;5;10;26;0.21739130434782608;0.3333333333333333;0.16129032258064516;
44;2142.txt;24;11;8;3;16;0.45714285714285713;0.7272727272727273;0.3333333333333333;
