id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
0;2.txt;3;6;1;5;2;0.2222222222222222;0.16666666666666666;0.3333333333333333;
1;2002.txt;33;20;2;18;31;0.07547169811320754;0.1;0.06060606060606061;
2;2004.txt;25;17;1;16;24;0.047619047619047616;0.058823529411764705;0.04;
3;2009.txt;44;20;7;13;37;0.21875;0.35;0.1590909090909091;
4;2012.txt;31;24;7;17;24;0.2545454545454545;0.2916666666666667;0.22580645161290322;
5;2014.txt;43;27;8;19;35;0.22857142857142856;0.2962962962962963;0.18604651162790697;
6;2019.txt;36;35;6;29;30;0.16901408450704225;0.17142857142857143;0.16666666666666666;
7;202.txt;37;17;2;15;35;0.07407407407407407;0.11764705882352941;0.05405405405405406;
8;2022.txt;17;17;0;17;17;0.0;0.0;0.0;
9;2024.txt;37;22;5;17;32;0.1694915254237288;0.22727272727272727;0.13513513513513514;
10;2029.txt;22;16;3;13;19;0.15789473684210525;0.1875;0.13636363636363635;
11;2032.txt;24;15;6;9;18;0.3076923076923077;0.4;0.25;
12;2039.txt;15;7;2;5;13;0.18181818181818182;0.2857142857142857;0.13333333333333333;
13;204.txt;65;21;9;12;56;0.20930232558139536;0.42857142857142855;0.13846153846153847;
14;2042.txt;48;18;3;15;45;0.09090909090909091;0.16666666666666666;0.0625;
15;2044.txt;16;17;1;16;15;0.06060606060606061;0.058823529411764705;0.0625;
16;2049.txt;4;8;2;6;2;0.3333333333333333;0.25;0.5;
17;2052.txt;3;10;0;10;3;0.0;0.0;0.0;
18;2054.txt;9;6;2;4;7;0.26666666666666666;0.3333333333333333;0.2222222222222222;
19;2059.txt;5;12;1;11;4;0.11764705882352941;0.08333333333333333;0.2;
20;2062.txt;13;9;2;7;11;0.18181818181818182;0.2222222222222222;0.15384615384615385;
21;2064.txt;16;6;2;4;14;0.18181818181818182;0.3333333333333333;0.125;
22;2069.txt;11;10;1;9;10;0.09523809523809523;0.1;0.09090909090909091;
23;2082.txt;26;14;3;11;23;0.15;0.21428571428571427;0.11538461538461539;
24;2084.txt;19;9;1;8;18;0.07142857142857142;0.1111111111111111;0.05263157894736842;
25;2089.txt;14;12;1;11;13;0.07692307692307693;0.08333333333333333;0.07142857142857142;
26;209.txt;12;9;0;9;12;0.0;0.0;0.0;
27;2092.txt;44;28;6;22;38;0.16666666666666666;0.21428571428571427;0.13636363636363635;
28;2094.txt;15;10;2;8;13;0.16;0.2;0.13333333333333333;
29;2099.txt;20;13;2;11;18;0.12121212121212122;0.15384615384615385;0.1;
30;2102.txt;13;16;2;14;11;0.13793103448275862;0.125;0.15384615384615385;
31;2104.txt;11;16;2;14;9;0.14814814814814814;0.125;0.18181818181818182;
32;2109.txt;18;14;2;12;16;0.125;0.14285714285714285;0.1111111111111111;
33;2112.txt;17;14;3;11;14;0.1935483870967742;0.21428571428571427;0.17647058823529413;
34;2114.txt;9;9;1;8;8;0.1111111111111111;0.1111111111111111;0.1111111111111111;
35;2119.txt;14;12;1;11;13;0.07692307692307693;0.08333333333333333;0.07142857142857142;
